epoch,timestamp_ms,tag1_anchor_count,tag1_avg_rssi,tag1_solve_ok,tag1_x,tag1_y,tag1_z,tag1_rmse_m,tag2_anchor_count,tag2_avg_rssi,tag2_solve_ok,tag2_x,tag2_y,tag2_z,tag2_rmse_m,fused_tag,fused_x,fused_y,fused_z,fused_rmse_m,flags
93,132789.5,4,-83.748,True,3.3486,-2.628,1.4586,0.1224,5,-83.008,True,3.4307,-2.7907,1.3963,0.1113,2,3.4427,-2.7868,1.4097,0.1113,weak_height_geometry
94,133092.0,5,-84.987,True,3.304,-2.6333,1.4762,0.1131,5,-83.495,True,3.4178,-2.7988,1.3965,0.1076,2,3.434,-2.791,1.4051,0.1076,weak_height_geometry
95,133472.0,5,-85.143,True,3.2983,-2.6338,1.4968,0.1171,5,-83.281,True,3.4582,-2.7873,1.4131,0.1023,2,3.4425,-2.7897,1.4079,0.1023,weak_height_geometry
96,133772.0,5,-85.225,True,3.3107,-2.6368,1.4912,0.112,5,-84.023,True,3.4625,-2.7875,1.4247,0.0961,2,3.4495,-2.789,1.4138,0.0961,weak_height_geometry
97,134272.0,5,-85.549,True,3.3328,-2.6212,1.5071,0.114,5,-83.249,True,3.4623,-2.7773,1.4327,0.0942,2,3.454,-2.7849,1.4204,0.0942,weak_height_geometry
98,134592.0,5,-85.499,True,3.3223,-2.6184,1.5141,0.1155,5,-83.515,True,3.466,-2.7798,1.4267,0.0924,2,3.4582,-2.7831,1.4226,0.0924,weak_height_geometry
99,134972.0,5,-85.573,True,3.2933,-2.6131,1.5126,0.115,5,-82.927,True,3.4883,-2.7711,1.4109,0.0922,2,3.4688,-2.7789,1.4185,0.0922,weak_height_geometry
100,135394.5,4,-83.905,True,3.2988,-2.6289,1.4696,0.1203,5,-83.749,True,3.4846,-2.78,1.4152,0.0913,2,3.4743,-2.7793,1.4174,0.0913,weak_height_geometry
101,135669.5,4,-84.009,True,3.2956,-2.6311,1.4669,0.1221,5,-84.241,True,3.5,-2.7665,1.4206,0.1061,2,3.4833,-2.7748,1.4185,0.1061,weak_height_geometry
102,135969.5,4,-83.792,True,3.3279,-2.6367,1.4584,0.1219,5,-83.603,True,3.4897,-2.77,1.4165,0.1024,2,3.4856,-2.7732,1.4178,0.1024,weak_height_geometry
103,136469.5,4,-84.012,True,3.3729,-2.6447,1.4517,0.1173,5,-83.226,True,3.4675,-2.7795,1.4269,0.1058,2,3.4792,-2.7754,1.421,0.1058,weak_height_geometry
104,136869.5,4,-84.126,True,3.3762,-2.6445,1.4509,0.117,5,-84.103,True,3.4522,-2.7884,1.4308,0.0988,2,3.4698,-2.7799,1.4244,0.0988,weak_height_geometry
105,137190.0,4,-84.181,True,3.3816,-2.6339,1.4635,0.1152,5,-84.108,True,3.4588,-2.7882,1.432,0.0985,2,3.4659,-2.7828,1.4271,0.0985,weak_height_geometry
106,137592.0,5,-85.528,True,3.3572,-2.6119,1.5178,0.1217,5,-85.267,True,3.4672,-2.7845,1.4572,0.0939,2,3.4664,-2.7834,1.4376,0.0939,weak_height_geometry
107,137872.0,5,-85.389,True,3.3557,-2.6099,1.5174,0.1221,5,-83.401,True,3.4768,-2.7724,1.481,0.0995,2,3.47,-2.7796,1.4528,0.0995,weak_height_geometry
108,138272.0,5,-85.32,True,3.3341,-2.6164,1.5153,0.1234,5,-84.966,True,3.4654,-2.7821,1.4967,0.1044,2,3.4684,-2.7805,1.4682,0.1044,weak_height_geometry
109,138672.0,5,-85.289,True,3.3423,-2.621,1.5073,0.1193,5,-84.24,True,3.4471,-2.7912,1.4779,0.1141,2,3.461,-2.7842,1.4716,0.1141,weak_height_geometry
110,139072.0,5,-85.604,True,3.3612,-2.6238,1.4855,0.1193,5,-84.156,True,3.4418,-2.7928,1.4845,0.1164,2,3.4543,-2.7872,1.4761,0.1164,weak_height_geometry
111,139495.0,4,-84.19,True,3.4356,-2.6399,1.4545,0.1223,5,-84.281,True,3.4542,-2.7866,1.4829,0.1139,2,3.4542,-2.787,1.4785,0.1139,weak_height_geometry
112,139690.0,4,-84.303,True,3.4565,-2.641,1.466,0.1255,5,-83.215,True,3.4722,-2.7775,1.4657,0.1072,2,3.4605,-2.7837,1.474,0.1072,weak_height_geometry
113,140089.5,4,-83.965,True,3.4873,-2.6412,1.4715,0.1267,5,-83.731,True,3.4644,-2.7898,1.4541,0.1017,2,3.4619,-2.7858,1.467,0.1017,weak_height_geometry
114,140369.5,4,-84.399,True,3.4854,-2.6442,1.4622,0.1255,5,-83.815,True,3.4507,-2.7947,1.4342,0.0951,2,3.4579,-2.7889,1.4555,0.0951,weak_height_geometry
115,140869.5,4,-85.704,True,3.4344,-2.6593,1.4425,0.1223,5,-85.238,True,3.4562,-2.7815,1.4152,0.0903,2,3.4573,-2.7863,1.4414,0.0903,weak_height_geometry
116,141369.5,4,-84.117,True,3.4037,-2.7048,1.4079,0.145,5,-83.11,True,3.4503,-2.7682,1.3889,0.0889,2,3.4549,-2.78,1.423,0.0889,weak_height_geometry
117,141672.0,5,-85.098,True,3.3931,-2.6835,1.4549,0.1521,5,-84.284,True,3.4482,-2.7833,1.3796,0.1011,2,3.4525,-2.7812,1.4079,0.1011,weak_height_geometry
118,142092.0,5,-85.728,True,3.4142,-2.6719,1.4558,0.1382,5,-84.788,True,3.4906,-2.7912,1.4071,0.091,2,3.4658,-2.7847,1.4076,0.091,weak_height_geometry
119,142292.0,5,-85.362,True,3.4185,-2.6614,1.4778,0.1232,5,-85.967,True,3.4999,-2.7947,1.4173,0.0865,1,3.4493,-2.7415,1.4322,0.1232,weak_height_geometry
120,142672.0,5,-85.149,True,3.3836,-2.6583,1.4839,0.1136,5,-84.894,True,3.4787,-2.7833,1.4217,0.0903,2,3.4596,-2.7562,1.4285,0.0903,weak_height_geometry
121,142972.0,5,-85.01,True,3.3946,-2.6922,1.4214,0.1333,5,-84.664,True,3.4496,-2.7886,1.4099,0.0951,2,3.4561,-2.7675,1.422,0.0951,weak_height_geometry
122,143472.0,5,-85.288,True,3.3944,-2.6982,1.3971,0.1298,5,-85.215,True,3.4204,-2.7989,1.3846,0.1054,2,3.4436,-2.7785,1.4089,0.1054,weak_height_geometry
123,143971.5,5,-85.095,True,3.3457,-2.6919,1.3888,0.1222,5,-84.307,True,3.4573,-2.7898,1.3797,0.1102,2,3.4484,-2.7825,1.3987,0.1102,weak_height_geometry
124,144192.0,5,-85.215,True,3.3108,-2.6871,1.3906,0.1225,5,-84.407,True,3.4755,-2.7922,1.3887,0.1116,2,3.4579,-2.7859,1.3952,0.1116,weak_height_geometry
125,144612.0,5,-85.514,True,3.2968,-2.6848,1.3918,0.1235,5,-84.346,True,3.5008,-2.7781,1.3906,0.0949,2,3.4729,-2.7832,1.3936,0.0949,weak_height_geometry
126,145072.0,5,-85.34,True,3.2925,-2.6744,1.4191,0.1102,5,-85.151,True,3.4871,-2.7915,1.3939,0.0947,2,3.4779,-2.7861,1.3937,0.0947,weak_height_geometry
127,145472.0,5,-85.288,True,3.2892,-2.6782,1.4271,0.1132,5,-84.148,True,3.4823,-2.782,1.3978,0.0978,2,3.4794,-2.7847,1.3951,0.0978,weak_height_geometry
128,145772.0,5,-85.225,True,3.2955,-2.6673,1.4423,0.1217,5,-84.304,True,3.4851,-2.7739,1.394,0.0946,2,3.4814,-2.7809,1.3948,0.0946,weak_height_geometry
129,146272.0,5,-85.384,True,3.2878,-2.6561,1.4336,0.1206,5,-84.26,True,3.5077,-2.7744,1.3983,0.0902,2,3.4906,-2.7786,1.396,0.0902,weak_height_geometry
130,146592.0,5,-85.363,True,3.2965,-2.6568,1.4212,0.1121,5,-84.729,True,3.4995,-2.7856,1.4047,0.0915,2,3.4937,-2.7811,1.399,0.0915,weak_height_geometry
131,147012.0,5,-85.222,True,3.2996,-2.657,1.4177,0.1135,5,-83.708,True,3.5027,-2.7964,1.4227,0.1085,2,3.4968,-2.7864,1.4073,0.1085,weak_height_geometry
132,147292.0,5,-85.016,True,3.252,-2.6735,1.4077,0.1216,5,-83.431,True,3.5051,-2.7963,1.4181,0.1027,2,3.4997,-2.7899,1.4111,0.1027,weak_height_geometry
